S(t),I(t),H(t),C(t),R(t),D(t),date
52250186.0,38563.71428571428,1391.4285714285713,204.42857142857142,3765074.714285714,10.0,2021-05-08
52248210.0,38444.57142857143,1363.4285714285713,197.71428571428572,3767036.5714285714,9.428571428571429,2021-05-09
52245909.0,38415.142857142855,1334.7142857142858,192.14285714285714,3768981.714285714,9.571428571428571,2021-05-10
52244066.0,38329.57142857143,1301.5714285714287,186.14285714285714,3770936.5714285714,10.285714285714286,2021-05-11
52242215.0,38165.42857142857,1279.4285714285713,179.28571428571428,3772924.8571428573,9.857142857142858,2021-05-12
52240495.0,37957.42857142857,1251.857142857143,173.85714285714286,3774924.714285714,9.714285714285714,2021-05-13
52238977.0,37769.42857142857,1220.857142857143,168.14285714285714,3776889.4285714286,8.428571428571429,2021-05-14
52237685.0,37592.71428571428,1192.2857142857142,164.0,3778843.8571428573,8.142857142857142,2021-05-15
52236109.0,37412.42857142857,1163.0,160.57142857142858,3780744.8571428573,8.0,2021-05-16
52233787.0,37233.57142857143,1130.857142857143,156.71428571428572,3782647.8571428573,7.571428571428571,2021-05-17
52231567.0,37151.857142857145,1094.4285714285713,154.28571428571428,3784509.1428571427,6.0,2021-05-18
52229327.0,37145.71428571428,1062.142857142857,151.71428571428572,3786351.4285714286,5.0,2021-05-19
52227344.0,37201.857142857145,1041.5714285714287,150.71428571428572,3788169.0,5.0,2021-05-20
52225489.0,37328.857142857145,1029.4285714285713,150.42857142857142,3789962.8571428573,6.0,2021-05-21
52223902.0,37512.0,1012.7142857142857,149.71428571428572,3791743.4285714286,5.285714285714286,2021-05-22
52221996.0,37825.857142857145,1005.5714285714286,148.71428571428572,3793440.285714286,5.428571428571429,2021-05-23
52219268.0,38261.57142857143,1006.5714285714286,147.71428571428572,3795073.1428571427,5.571428571428571,2021-05-24
52216497.0,38721.142857142855,1007.4285714285714,147.71428571428572,3796760.4285714286,6.0,2021-05-25
52213350.0,39302.57142857143,1002.0,147.42857142857142,3798454.1428571427,7.285714285714286,2021-05-26
52210313.0,40017.857142857145,999.8571428571429,146.28571428571428,3800164.4285714286,7.428571428571429,2021-05-27
52207415.0,40862.857142857145,994.1428571428571,145.28571428571428,3801894.285714286,7.142857142857143,2021-05-28
52204974.0,41815.0,995.0,143.85714285714286,3803638.4285714286,7.714285714285714,2021-05-29
52202393.0,42765.0,991.4285714285714,143.14285714285714,3805481.1428571427,7.714285714285714,2021-05-30
52199244.0,43702.142857142855,983.5714285714286,141.71428571428572,3807396.8571428573,7.714285714285714,2021-05-31
52194789.0,44926.71428571428,985.0,142.14285714285714,3809266.1428571427,7.285714285714286,2021-06-01
52189795.0,46460.28571428572,994.4285714285714,142.0,3811090.285714286,7.285714285714286,2021-06-02
52184715.0,48317.71428571428,998.0,143.85714285714286,3812882.1428571427,7.571428571428571,2021-06-03
52179871.0,50467.57142857143,1005.5714285714286,144.57142857142858,3814658.8571428573,8.285714285714286,2021-06-04
52175934.0,52830.28571428572,1007.7142857142857,146.57142857142858,3816436.5714285714,8.142857142857142,2021-06-05
52171231.0,55553.28571428572,1011.0,149.42857142857142,3818157.285714286,8.0,2021-06-06
52164511.0,58783.42857142857,1021.0,152.85714285714286,3819881.4285714286,7.571428571428571,2021-06-07
52157936.0,62260.142857142855,1034.7142857142858,155.14285714285714,3821661.0,8.428571428571429,2021-06-08
52151064.0,65949.42857142857,1043.142857142857,159.0,3823497.1428571427,7.571428571428571,2021-06-09
52144414.0,69825.14285714286,1062.857142857143,161.57142857142858,3825370.8571428573,7.857142857142857,2021-06-10
52137961.0,73884.28571428571,1075.857142857143,165.71428571428572,3827291.714285714,7.142857142857143,2021-06-11
52132577.0,78106.14285714286,1100.5714285714287,170.85714285714286,3829255.4285714286,8.285714285714286,2021-06-12
52126539.0,82471.57142857143,1126.2857142857142,178.28571428571428,3831266.1428571427,8.428571428571429,2021-06-13
52117667.0,87085.85714285714,1152.0,185.57142857142858,3833334.714285714,9.142857142857142,2021-06-14
52108608.0,91975.85714285714,1179.7142857142858,194.14285714285714,3835481.5714285714,10.0,2021-06-15
52099274.0,97088.42857142857,1212.0,202.85714285714286,3837756.714285714,10.857142857142858,2021-06-16
52089823.0,102451.57142857143,1250.5714285714287,212.0,3840182.285714286,10.0,2021-06-17
52081106.0,107988.28571428571,1302.5714285714287,223.14285714285714,3842757.1428571427,10.571428571428571,2021-06-18
52074024.0,113645.42857142857,1347.2857142857142,232.0,3845453.4285714286,11.285714285714286,2021-06-19
52065868.0,119506.71428571429,1392.857142857143,237.85714285714286,3848246.1428571427,13.285714285714286,2021-06-20
52053283.0,125837.85714285714,1452.2857142857142,246.0,3851099.0,13.714285714285714,2021-06-21
52039797.0,132561.2857142857,1507.2857142857142,255.57142857142858,3854192.8571428573,12.857142857142858,2021-06-22
52025081.0,139790.57142857142,1550.0,264.0,3857550.5714285714,12.0,2021-06-23
52010104.0,147515.57142857142,1583.142857142857,273.7142857142857,3861199.8571428573,14.142857142857142,2021-06-24
51995330.0,155827.0,1607.5714285714287,280.7142857142857,3865126.4285714286,15.714285714285714,2021-06-25
51981926.0,164829.14285714287,1634.4285714285713,287.85714285714283,3869266.8571428573,14.285714285714286,2021-06-26
51966574.0,174556.42857142858,1668.2857142857142,295.85714285714283,3873710.5714285714,13.857142857142858,2021-06-27
51943191.0,185316.2857142857,1702.7142857142858,307.14285714285717,3878664.8571428573,13.285714285714286,2021-06-28
51920100.0,197144.57142857142,1731.0,312.14285714285717,3883921.1428571427,15.0,2021-06-29
51896307.0,209998.2857142857,1777.2857142857142,318.0,3889446.5714285714,17.142857142857142,2021-06-30
51872225.0,223928.42857142858,1834.857142857143,325.0,3895196.0,17.428571428571427,2021-07-01
51850086.0,238679.42857142858,1900.7142857142858,336.0,3901176.0,18.142857142857142,2021-07-02
51829564.0,254239.57142857142,1973.7142857142858,348.57142857142856,3907361.5714285714,20.285714285714285,2021-07-03
51807863.0,270515.5714285714,2057.714285714286,361.7142857142857,3913737.714285714,20.857142857142858,2021-07-04
51777821.0,287434.0,2146.0,374.2857142857143,3920420.5714285714,23.0,2021-07-05
51746377.0,305192.0,2264.285714285714,393.57142857142856,3927457.4285714286,22.714285714285715,2021-07-06
51712318.0,324065.4285714286,2405.8571428571427,418.57142857142856,3934845.1428571427,23.0,2021-07-07
51682623.0,343338.71428571426,2548.285714285714,440.85714285714283,3942633.8571428573,24.0,2021-07-08
51653776.0,363245.5714285714,2709.285714285714,461.7142857142857,3950745.4285714286,25.857142857142858,2021-07-09
51628537.0,383583.14285714284,2882.1428571428573,483.57142857142856,3959098.8571428573,27.142857142857142,2021-07-10
51601243.0,404418.71428571426,3057.714285714286,505.7142857142857,3967752.8571428573,27.571428571428573,2021-07-11
51561010.0,426178.71428571426,3252.0,527.0,3976936.8571428573,29.0,2021-07-12
51518049.0,448948.14285714284,3456.285714285714,551.5714285714286,3986754.1428571427,31.571428571428573,2021-07-13
51467963.0,473236.0,3660.4285714285716,574.0,3997341.1428571427,33.0,2021-07-14
51410682.0,500675.28571428574,3875.714285714286,596.4285714285714,4008715.4285714286,35.142857142857146,2021-07-15
51359782.0,530401.1428571428,4088.4285714285716,622.4285714285714,4020953.4285714286,35.285714285714285,2021-07-16
51324677.0,560630.5714285715,4302.571428571428,646.7142857142857,4034096.0,36.57142857142857,2021-07-17
51291661.0,590644.7142857143,4512.142857142857,668.2857142857143,4048267.0,40.857142857142854,2021-07-18
51248454.0,619535.4285714285,4727.0,691.1428571428571,4063981.1428571427,46.0,2021-07-19
51212764.0,646015.2857142857,4925.428571428572,706.4285714285714,4081065.714285714,47.714285714285715,2021-07-20
51181345.0,668532.2857142857,5123.285714285715,723.5714285714286,4099444.8571428573,49.285714285714285,2021-07-21
51153848.0,685490.8571428572,5329.142857142857,747.7142857142857,4119124.4285714286,52.42857142857143,2021-07-22
51129459.0,697606.0,5550.857142857143,769.2857142857143,4139855.4285714286,57.142857142857146,2021-07-23
51109340.0,706562.1428571428,5758.142857142857,798.1428571428571,4161601.1428571427,60.57142857142857,2021-07-24
51089838.0,712680.0,5989.285714285715,831.0,4184253.285714286,61.857142857142854,2021-07-25
51063519.0,715436.5714285715,6242.571428571428,866.1428571428571,4207854.571428572,61.42857142857143,2021-07-26
51037737.0,715582.7142857143,6495.428571428572,906.5714285714286,4232649.428571428,62.857142857142854,2021-07-27
51011035.0,713584.7142857143,6715.0,943.4285714285714,4258910.571428572,66.85714285714286,2021-07-28
50985872.0,710452.0,6883.285714285715,977.0,4285972.571428572,67.28571428571429,2021-07-29
50963961.0,706005.7142857143,7007.285714285715,1009.7142857142857,4313991.0,70.42857142857143,2021-07-30
50945665.0,700625.0,7112.857142857143,1035.2857142857142,4342682.0,71.85714285714286,2021-07-31
50927139.0,694304.8571428572,7180.0,1052.2857142857142,4372171.571428572,73.28571428571429,2021-08-01
50900768.0,686537.5714285715,7213.571428571428,1065.0,4403115.571428572,73.42857142857143,2021-08-02
50873927.0,677277.8571428572,7190.857142857143,1070.0,4435702.285714285,74.42857142857143,2021-08-03
